tag,version,minor,date,ts,day,checks,routes,tables,tests,product_lines,docs_lines,drills,ci_jobs,conformance_cases
v9.30,9.03,30,2026-05-16,1778922485,0,0,67,27,1417,37901,71664,0,3,0
v9.41,9.041,41,2026-05-17,1779076476,1,0,68,27,1475,38475,73685,0,3,0
v9.43,9.043,43,2026-05-19,1779175192,3,0,68,27,1482,38475,73965,0,3,0
v9.49,9.049,49,2026-06-03,1780522655,18,0,68,27,1522,39038,74920,0,3,0
v9.56,9.056,56,2026-06-03,1780544134,18,11,68,26,507,27153,66705,0,2,0
v9.57,9.057,57,2026-06-04,1780546841,19,11,68,26,507,27075,20912,0,2,0
v9.58,9.058,58,2026-06-04,1780548293,19,12,68,26,509,27161,20953,0,2,0
v9.59,9.059,59,2026-06-04,1780550106,19,12,68,26,509,24307,19578,0,2,0
v9.60,9.06,60,2026-06-04,1780551421,19,12,68,26,509,24309,19600,0,2,0
v9.61,9.061,61,2026-06-04,1780552257,19,17,68,26,514,24369,19625,0,2,0
v9.62,9.062,62,2026-06-04,1780553160,19,17,68,26,514,24369,18854,0,2,0
v9.63,9.063,63,2026-06-04,1780554133,19,17,68,26,514,24363,18880,0,2,0
v9.64,9.064,64,2026-06-04,1780561358,19,17,68,26,518,24375,18908,0,2,0
v9.65,9.065,65,2026-06-04,1780562499,19,17,68,26,518,24375,18938,0,2,0
v9.66,9.066,66,2026-06-04,1780563561,19,19,68,26,526,24446,18972,0,2,0
v9.67,9.067,67,2026-06-04,1780564164,19,19,68,26,539,24446,19008,0,2,0
v9.68,9.068,68,2026-06-04,1780564823,19,20,68,26,540,24457,19029,0,2,0
v9.69,9.069,69,2026-06-04,1780565541,19,21,68,26,541,24479,19080,0,2,0
v9.70,9.07,70,2026-06-04,1780566510,19,21,68,26,545,24500,19101,0,2,0
v9.71,9.071,71,2026-06-04,1780568063,19,21,68,26,550,24575,19164,0,2,0
v9.72,9.072,72,2026-06-04,1780568516,19,21,68,26,551,24611,19193,0,2,0
v9.73,9.073,73,2026-06-04,1780569829,19,21,68,26,554,24643,19245,0,2,0
v9.74,9.074,74,2026-06-04,1780570113,19,21,68,26,555,24666,19267,0,2,0
v9.75,9.075,75,2026-06-04,1780570113,19,21,68,26,555,24666,19267,0,2,0
v9.76,9.076,76,2026-06-04,1780570113,19,21,68,26,555,24666,19267,0,2,0
v9.77,9.077,77,2026-06-04,1780572119,19,22,68,26,563,24735,19327,0,2,0
v9.78,9.078,78,2026-06-04,1780572754,19,23,68,26,564,24806,19354,0,2,0
v9.79,9.079,79,2026-06-04,1780572754,19,23,68,26,564,24806,19354,0,2,0
v9.80,9.08,80,2026-06-04,1780573810,19,24,68,26,566,24870,19406,0,2,0
v9.81,9.081,81,2026-06-04,1780574315,19,24,68,26,567,24893,19435,0,2,0
v9.82,9.082,82,2026-06-04,1780574680,19,24,68,26,569,24918,19461,0,2,0
v9.83,9.083,83,2026-06-04,1780574680,19,24,68,26,569,24918,19461,0,2,0
v9.84,9.084,84,2026-06-04,1780607808,19,24,68,26,571,24945,19486,0,2,0
v9.85,9.085,85,2026-06-04,1780608796,19,25,68,26,576,25071,19536,0,2,0
